gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,No,Yes,36,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),117.25,4237.83,No
Male,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.26,1580.2,No
Male,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,75.71,1356.33,No
Male,0,No,No,55,Yes,No phone service,DSL,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),67.21,3691.28,No
Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),101.58,683.19,No
Male,0,No,No,42,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),28.77,1195.76,Yes
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,83.39,160.93,No
Female,0,No,No,71,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.65,3437.98,No
Female,0,No,No,60,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.62,5740.13,No
Female,0,No,No,17,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),24.73,450.24,Yes
Female,1,No,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,103.61,1069.51,No
Male,1,No,No,46,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,18.04,818.14,Yes
Male,0,No,No,64,No,No,DSL,No,No,No internet service,No,No internet service,Yes,Two year,No,Electronic check,108.22,6961.29,No
Female,1,Yes,No,23,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,67.24,1569.14,No
Male,0,Yes,Yes,69,Yes,No,DSL,No internet service,Yes,No,No,Yes,Yes,One year,No,Mailed check,112.36,7738.9,No
Female,0,Yes,Yes,32,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),18.93,615.71,Yes
Female,1,No,Yes,31,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,111.98,3470.93,Yes
Male,0,Yes,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),73.41,1720.62,Yes
Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),24.76,444.86,No
Female,0,No,No,24,No,No,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),118.49,2857.93,No
Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),46.66,528.84,No
Male,0,No,No,27,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,36.78,1029.11,No
Female,0,Yes,No,20,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.87,517.42,No
Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,70.77,296.73,No
Male,0,No,No,26,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,86.94,2229.26,No
Female,0,Yes,Yes,2,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,48.64,118.2,No
Male,0,Yes,No,13,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),88.88,1174.65,Yes
Female,1,No,No,52,No,No,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,104.17,5434.84,Yes
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,Yes,Mailed check,64.32,83.12,Yes
Male,1,No,No,22,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,116.39,2595.47,Yes
Female,0,Yes,No,49,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.88,1400.55,No
Female,0,Yes,No,1,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),92.36,88.41,No
Female,0,No,Yes,53,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),93.13,4918.24,No
Male,0,No,Yes,5,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.84,389.82,No
Male,0,No,No,3,Yes,Yes,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),32.23,91.86,No
Male,0,Yes,Yes,14,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,73.46,1001.71,No
Male,1,Yes,No,61,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.85,2127.35,No
Male,0,No,No,3,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),26.68,39.9,No
Female,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,73.17,513.64,No
Female,0,Yes,No,68,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),79.94,5438.34,No
Female,0,Yes,No,43,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,99.9,4286.79,No
Male,0,No,Yes,40,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),38.86,1574.49,No
Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),113.07,189.92,No
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),76.24,2136.6,Yes
Male,0,No,No,41,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,One year,No,Bank transfer (automatic),83.79,3439.31,Yes
Female,1,No,No,38,No,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),35.05,1331.01,Yes
Female,0,Yes,No,37,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),99.68,3712.76,No
Male,0,Yes,No,8,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),85.07,667.67,No
Male,0,Yes,Yes,71,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,36.86,2615.15,No
Male,0,Yes,Yes,50,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,69.15,3459.64,Yes
Male,0,No,No,17,No,Yes,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,Yes,Electronic check,57.38,967.6,No
Male,0,Yes,Yes,69,Yes,No phone service,No,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),119.8,8234.78,No
Female,0,Yes,No,21,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),118.4,2516.69,Yes
Female,0,Yes,Yes,9,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,78.3,689.01,No
Female,0,No,No,64,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.34,3654.45,No
Female,0,No,Yes,10,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Credit card (automatic),66.62,621.32,No
Female,0,No,No,4,Yes,No phone service,DSL,No,No,Yes,No,No,No internet service,One year,Yes,Mailed check,45.07,181.42,Yes
Male,0,No,Yes,45,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,96.89,4363.52,No
Male,0,No,No,19,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No internet service,One year,Yes,Electronic check,69.33,1342.35,No
Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),74.77,740.19,No
Male,1,No,No,7,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,22.61,163.34,Yes
Male,0,No,Yes,9,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),26.68,260.14,No
Female,0,Yes,No,69,Yes,No phone service,No,No,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.89,2780.05,No
Female,0,Yes,No,48,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,62.69,3016.59,No
Female,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),62.66,3752.59,No
Female,0,Yes,No,44,Yes,No,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),104.64,4628.23,Yes
Male,1,No,No,39,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,97.51,3827.48,No
Female,1,No,No,15,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),82.71,1206.0,No
Female,0,Yes,No,69,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),21.21,1470.49,No
Female,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),74.24,4399.73,No
Female,0,No,No,38,No,Yes,DSL,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,118.46,4515.92,No
Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),68.87,476.69,No
Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.28,4001.54,No
Male,0,Yes,No,23,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,22.81,552.19,No
Male,0,No,Yes,15,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),44.74,676.01,No
Male,0,Yes,No,53,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,79.77,4224.15,No
Male,0,No,No,60,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),106.21,6369.79,No
Male,0,No,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,95.64,4208.15,Yes
Female,0,Yes,Yes,5,Yes,No,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),103.31,513.55,Yes
Female,0,No,Yes,43,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),98.74,4268.87,No
Female,0,No,Yes,66,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,81.85,5410.87,Yes
Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.25,3547.66,Yes
Female,0,No,No,19,Yes,No,No,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),54.55,1032.46,No
Female,0,No,No,46,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,100.5,4634.58,No
Male,0,No,No,17,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),62.34,1041.74,Yes
Female,0,Yes,No,62,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),73.08,4534.53,No
Male,0,Yes,No,60,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),119.89,7160.91,No
Male,0,Yes,No,40,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,46.86,1869.45,No
Female,1,No,No,9,Yes,Yes,No,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,61.24,540.76,Yes
Female,0,No,No,28,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),26.27,734.99,No
Male,1,No,No,8,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),52.29,410.02,No
Male,0,No,No,55,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,No,Mailed check,109.32,6022.95,No
Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45.45,2213.42,No
Male,0,Yes,No,18,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,103.29,1876.6,No
Male,0,No,No,61,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.76,4469.46,No
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),73.3,3936.56,Yes
Female,0,No,No,67,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,118.23,7933.8,No
Female,0,No,No,20,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,65.63,1307.23,Yes
Female,0,No,Yes,12,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.02,606.91,Yes
Female,0,No,No,34,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,83.7,2824.1,No
Female,0,No,No,19,Yes,Yes,No,No,Yes,No,No,No internet service,No,One year,Yes,Electronic check,69.19,1338.74,No
Male,0,No,No,53,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,66.43,3513.31,No
Male,0,Yes,No,30,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.03,3266.48,No
Female,0,No,No,45,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,93.23,4190.96,Yes
Male,0,No,No,12,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,One year,No,Credit card (automatic),60.58,704.6,No
Male,0,Yes,No,6,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,One year,No,Electronic check,36.55,235.06,No
Male,0,No,No,67,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,25.42,1691.2,Yes
Female,0,No,No,32,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),43.28,1394.89,No
Male,0,No,No,10,Yes,No,No,Yes,No,No internet service,No,No,Yes,One year,No,Mailed check,117.56,1170.43,No
Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.79,1723.6,No
Male,0,Yes,Yes,9,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,One year,No,Electronic check,119.75,1097.81,No
Male,0,Yes,No,71,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,82.72,5843.1,No
Male,0,Yes,No,27,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Two year,Yes,Electronic check,68.11,1793.08,No
Male,1,No,No,33,Yes,No phone service,No,Yes,No,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,104.55,3436.06,No
Female,0,No,No,18,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.85,877.31,No
Male,0,No,Yes,6,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),23.6,136.66,Yes
Male,0,Yes,No,29,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,36.06,1030.54,Yes
Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,99.61,2623.33,No
Female,0,No,No,32,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,77.19,2495.17,No
Male,0,No,Yes,35,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),65.84,2251.1,No
Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.34,4276.84,No
Female,0,No,No,5,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,67.0,342.71,No
Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),66.14,1726.15,No
Female,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),111.48,6895.58,No
Female,1,Yes,No,68,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,76.31,5215.58,Yes
Female,1,No,No,38,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),84.22,3182.08,Yes
Male,0,No,No,26,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),82.85,2153.54,No
Male,0,No,No,29,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),46.07,1334.49,No
Male,0,Yes,Yes,56,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Two year,No,Bank transfer (automatic),119.84,6715.9,No
Female,0,No,No,28,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),22.17,609.25,Yes
Female,0,No,No,68,Yes,No,No,No,Yes,No internet service,No,No,No,Two year,Yes,Credit card (automatic),50.45,3440.3,No
Male,0,Yes,No,2,No,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),53.1,89.46,No
Male,1,Yes,No,43,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),117.88,5075.51,No
Female,1,Yes,No,37,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),79.15,2917.06,No
Female,0,No,No,32,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.22,1826.9,No
Female,0,Yes,No,34,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,50.61,1715.8,No
Male,0,Yes,Yes,11,Yes,No,No,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),27.0,300.45,Yes
Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),21.33,533.65,No
Male,0,Yes,No,25,No,No phone service,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.02,854.73,No
Female,0,No,No,47,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,64.94,3068.24,Yes
Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,47.44,2015.82,Yes
Male,0,No,No,29,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,118.44,3445.81,No
Male,0,No,No,37,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),46.36,1711.32,No
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.12,4245.06,No
Female,0,No,Yes,3,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,105.0,324.66,No
Male,1,Yes,No,63,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),40.0,2530.49,No
Female,0,No,No,64,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.14,2647.01,No
Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),90.68,2378.24,No
Male,0,No,No,54,Yes,Yes,DSL,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,116.14,6230.31,Yes
Male,0,Yes,No,28,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.14,2004.4,No
Female,1,Yes,Yes,4,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),56.36,225.08,Yes
Male,0,Yes,Yes,62,Yes,No phone service,No,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),21.13,1286.57,No
Female,1,No,No,19,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),98.55,1867.68,Yes
Male,0,Yes,Yes,25,Yes,Yes,No,Yes,No,No,Yes,No,No,Two year,No,Mailed check,44.07,1105.72,No
Male,0,No,No,41,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,38.3,1601.94,No
Male,0,Yes,Yes,31,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,No,Electronic check,39.71,1245.5,No
Female,0,No,No,19,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,86.53,1658.52,Yes
Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.01,3421.65,Yes
Female,0,Yes,No,25,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),100.5,2477.97,No
Female,0,Yes,No,42,Yes,No,DSL,No internet service,Yes,No internet service,No,No,Yes,One year,Yes,Mailed check,27.31,1132.57,No
Male,0,No,Yes,47,No,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,88.04,4105.29,Yes
Female,1,Yes,No,67,No,No phone service,No,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),106.57,7151.47,Yes
Female,0,Yes,No,34,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,104.92,3569.31,No
Male,0,No,No,33,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,Two year,No,Credit card (automatic),35.2,1165.83,No
Male,0,No,Yes,65,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,No,Electronic check,79.01,5145.72,No
Male,0,No,No,34,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,115.39,3913.96,No
Female,1,No,No,21,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,99.48,2063.05,Yes
Male,0,No,No,3,No,No phone service,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,105.88,308.96,No
Female,0,No,No,23,No,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,112.69,2601.01,No
Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,29.47,378.37,Yes
Female,0,Yes,No,21,No,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Mailed check,36.78,776.38,No
Male,0,Yes,No,38,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,99.14,3743.29,Yes
Female,0,Yes,No,37,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.93,3672.24,No
Male,1,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,28.36,343.16,No
Male,1,Yes,No,33,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),105.55,3498.85,Yes
Male,0,No,No,32,Yes,No phone service,No,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,49.52,1556.7,No
Male,0,Yes,No,3,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),112.26,317.8,No
Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),24.32,499.95,No
Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.87,4149.73,No
Male,0,Yes,No,1,Yes,No phone service,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,118.4,79.07,Yes
Male,1,No,No,21,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),78.05,1653.19,Yes
Female,0,Yes,Yes,34,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Credit card (automatic),29.71,967.8,No
Male,0,Yes,No,11,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,27.16,295.2,Yes
Female,0,Yes,No,46,Yes,No,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),76.4,3555.88,No
Female,0,Yes,No,51,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),92.16,4701.79,Yes
